,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,7,1,0,6,1,5,10,2,4,7,0,0
12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,0,7,0,0,7,0,2,5,2,0,7,3,0
16,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,7,7,0,6,0,0,7,3,0,4,6,0,7,0,0
86,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,7,0,0,6,6,2,5,2,3,7,3,0
97,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,8,0,0,6,0,0,6,6,0,7,0,0
346,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,6,0,0,4,5,0,7,0,0
351,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,4,0,0,7,0,0,7,0,0,3,0,2,7,0,0
355,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,4,7,0,0,7,0,0,5,6,0,7,0,0
368,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,3,0,0,0,7,0,0,8,0,6,4,0,1,7,0,0
